entity_id,group,outcome,model,AUROC,AUPRC,Brier,sensitivity,specificity,PPV,NPV,threshold,threshold_strategy,N,events,TP,FP,TN,FN
v2|P1|overall|rSI_sMS,overall,y_P1,rSI_sMS,0.8738184165629179,0.06236502513085726,0.18526667382185139,0.8166666666666667,0.80896389542122,0.03426573426573427,0.9981225465096433,0.5715892991614395,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,49,1381,5848,11
v2|P1|overall|logistic_regression,overall,y_P1,logistic_regression,0.7732143680545949,0.07386469797937395,0.04749436606522881,0.65,0.749619587771476,0.021092482422931314,0.9961397058823529,0.00301058422736838,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,39,1810,5419,21
v2|P1|overall|catboost,overall,y_P1,catboost,0.9311154147646055,0.21370304830430842,0.007290144398633713,0.8166666666666667,0.8873979803568959,0.056778679026651215,0.9982882041705571,0.007951332983051609,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,49,814,6415,11
v2|P1|overall|xgboost,overall,y_P1,xgboost,0.9362636602572969,0.18554920581402465,0.007474919215959299,0.8,0.886982985198506,0.055491329479768786,0.99813200498132,0.009317795746028423,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,48,817,6412,12
v2|P1|overall|lightgbm,overall,y_P1,lightgbm,0.9334393876515885,0.18022436683831924,0.007454507230979538,0.8,0.8883663023931387,0.056140350877192984,0.9981349082996581,0.008191055102899837,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,48,807,6422,12
v2|P1|overall|bert_finetuned,overall,y_P1,bert_finetuned,0.7707843408493567,0.07782404462220545,0.5473664849939888,0.65,0.7949923917554296,0.02564102564102564,0.9963592233009708,0.8875311613082886,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,39,1482,5747,21
v2|P1|overall|mlp_plr,overall,y_P1,mlp_plr,0.8860999677225987,0.1764555092100933,0.035800518893084186,0.7333333333333333,0.8797897357864158,0.04819277108433735,0.9974905897114178,0.11761971563100815,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,44,869,6360,16
v2|P1|overall|ft_transformer,overall,y_P1,ft_transformer,0.9204315949647254,0.19390913183913622,0.10902983747556547,0.7833333333333333,0.8868446534790427,0.05433526011560694,0.9979763387297634,0.627260684967041,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,47,818,6411,13
v2|P1|overall|cnn_1d,overall,y_P1,cnn_1d,0.9085489002628302,0.13937722490855947,0.026331665550815026,0.7666666666666667,0.8891962927099184,0.05430932703659976,0.997826761875194,0.0077616008929908276,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,46,801,6428,14
v2|P1|overall|tabpfn,overall,y_P1,tabpfn,0.9343800433439388,0.2101558712592507,0.0073848466206951876,0.8,0.8886429658320653,0.05627198124267292,0.9981354878806712,0.007052266038954258,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,48,805,6424,12
v2|P1|overall|tabicl,overall,y_P1,tabicl,0.9068497256420898,0.11131552584798651,0.007880719057807642,0.7166666666666667,0.8659565638400886,0.042490118577075096,0.9972916998566194,0.0059901788481511176,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,43,969,6260,17
v2|P1|overall|stacking,overall,y_P1,stacking,0.9355973624752156,0.19463749175196593,0.09721845689061989,0.7833333333333333,0.8878129755152857,0.054778554778554776,0.9979785414399005,0.46652152795908036,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,60,47,811,6418,13
v2|P2|overall|rSI_sMS,overall,y_P2,rSI_sMS,0.7526071461300556,0.27583384778486986,0.21122967204332804,0.6920152091254753,0.6985065799201537,0.15147732001664585,0.966844044207941,0.5162060361740433,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,364,2039,4724,162
