task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__age_subgroup,medicine,P1,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.921332 [0.859049, 0.96772]","0.0645148 [0.0258205, 0.195274]",7109,18,0.9213322051426691,0.8590489799426674,0.9677196330362349,0.06451478489031671,0.025820517831532427,0.19527369580131573,0.00268581102092042,0.002367394422794022,0.0030233707597500104,0.09090909090909091,-0.0002813335208890139,0.5,0.5,0.5,0.05555555555555555,0.9995769285009166,0.25,0.9976073187895848,1,3,7088,17,ESTIMATED,ESTIMATED,ESTIMATED,8d1ac8ccb287759402c3b9fcd87094f9b1c35906d4458a0c945534d83d2a63d0,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__age_subgroup,8d45cf25650b9215561b8f43f6d9c4e44a6ab50513797c829a06cc3482fbfe35,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__age_subgroup\8d45cf25650b9215_3c510f4d0008.report.json,40097e7c1d49ef2af1b9dcf9fe9d0ec3d94d91ef436a7d45b4b2303c3b1c9e40
medicine__P1__age_subgroup,medicine,P1,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.972923 [0.935829, 0.995269]","0.509822 [0.347894, 0.743252]",1959,21,0.972922502334267,0.9358286717248329,0.9952694833056099,0.5098216014011464,0.34789394522144956,0.7432520049756607,0.006969533236607962,0.00580499069885112,0.00825747778782549,0.08695652173913043,0.0,0.5,0.5,0.5,0.047619047619047616,0.999484004127967,0.5,0.9897802759325498,1,1,1937,20,ESTIMATED,ESTIMATED,ESTIMATED,4635f696445414657fc71e800e8c1fdaa9549f09a6623dc0e00ff830c40d0147,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__age_subgroup,8d45cf25650b9215561b8f43f6d9c4e44a6ab50513797c829a06cc3482fbfe35,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__age_subgroup\8d45cf25650b9215_3c510f4d0008.report.json,40097e7c1d49ef2af1b9dcf9fe9d0ec3d94d91ef436a7d45b4b2303c3b1c9e40
medicine__P1__age_subgroup,medicine,P1,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.860688 [0.824154, 0.895303]","0.222571 [0.154111, 0.315979]",8886,111,0.8606883806883807,0.8241542899516519,0.895303071131923,0.22257071682425159,0.15411061297402423,0.3159789390330197,0.010831825628755468,0.010118719453608331,0.011502604719634449,0.13008130081300814,0.00045014629754670267,0.5,0.5,0.5,0.07207207207207207,0.9995441595441595,0.6666666666666666,0.9883930583727744,8,4,8771,103,ESTIMATED,ESTIMATED,ESTIMATED,1614461a1e4eec9205db3fc187ffac9eb12f12bc8e5dafd02b80e747afea0b79,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__age_subgroup,8d45cf25650b9215561b8f43f6d9c4e44a6ab50513797c829a06cc3482fbfe35,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__age_subgroup\8d45cf25650b9215_3c510f4d0008.report.json,40097e7c1d49ef2af1b9dcf9fe9d0ec3d94d91ef436a7d45b4b2303c3b1c9e40
medicine__P1__age_subgroup,medicine,P1,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.913703 [0.882498, 0.942154]","0.449381 [0.342688, 0.56496]",2811,77,0.9137033412819807,0.8824975323852882,0.9421535747039417,0.44938147885018853,0.34268755998360373,0.5649601969475949,0.020014123099885223,0.017893679662061554,0.022110872613240858,0.2765957446808511,0.0032017075773745998,0.5,0.5,0.5,0.16883116883116883,0.9985369422092173,0.7647058823529411,0.9770937723693629,13,4,2730,64,ESTIMATED,ESTIMATED,ESTIMATED,523c25e899d75f5567414571ba655f3d14de80489032c4138d8ab61d7ceda3c8,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P1__age_subgroup,8d45cf25650b9215561b8f43f6d9c4e44a6ab50513797c829a06cc3482fbfe35,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P1__age_subgroup\8d45cf25650b9215_3c510f4d0008.report.json,40097e7c1d49ef2af1b9dcf9fe9d0ec3d94d91ef436a7d45b4b2303c3b1c9e40
medicine__P2__age_subgroup,medicine,P2,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.91518 [0.896156, 0.932399]","0.456414 [0.400063, 0.518278]",7109,284,0.9151797967290926,0.896156171486614,0.9323993308704367,0.456414146670587,0.40006289849854726,0.5182778047133362,0.030719564544873762,0.02873303817178073,0.03277667030728628,0.45691382765531063,0.0018286678857785904,0.5,0.5,0.5,0.4014084507042254,0.9852014652014652,0.5302325581395348,0.975340876124166,114,101,6724,170,ESTIMATED,ESTIMATED,ESTIMATED,4d239796da1b279d48b1f454dc88c152757aa9c811e55cc566f7c50db053c65f,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P2__age_subgroup,e6c517b67c73c5e11cd25fe123fca15b5b63f721dfbe88134f24ccd31b88523c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P2__age_subgroup\e6c517b67c73c5e1_3c510f4d0008.report.json,461be20ab07512cdb09c122d5933b2b215fdfded57df29eeeca812030c11212b
medicine__P2__age_subgroup,medicine,P2,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.936908 [0.914793, 0.956913]","0.633916 [0.552609, 0.716111]",1959,118,0.9369079074563382,0.9147927664280044,0.9569125071072573,0.6339157570346379,0.5526089870914338,0.7161109614385989,0.036448520820301554,0.03163920118290693,0.04147602581319741,0.5964912280701754,0.013272077590607452,0.5,0.5,0.5,0.576271186440678,0.9771863117870723,0.6181818181818182,0.9729583558680368,68,42,1799,50,ESTIMATED,ESTIMATED,ESTIMATED,a71b06a47c7c17175fb8bfd3274b10fd3fc09e9f90238a5ce9386193a7767114,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P2__age_subgroup,e6c517b67c73c5e11cd25fe123fca15b5b63f721dfbe88134f24ccd31b88523c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P2__age_subgroup\e6c517b67c73c5e1_3c510f4d0008.report.json,461be20ab07512cdb09c122d5933b2b215fdfded57df29eeeca812030c11212b
medicine__P2__age_subgroup,medicine,P2,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.826916 [0.815808, 0.838161]","0.471008 [0.447262, 0.497974]",8886,1297,0.8269164282638112,0.8158075812763468,0.8381611567047146,0.4710077235093004,0.4472615381034572,0.4979741531574537,0.11743840270486172,0.11399521373518777,0.12095944057454314,0.4863557858376511,-0.021381949133468376,0.5,0.5,0.5,0.5427910562837317,0.8821979180392674,0.4405506883604506,0.9186333699231614,704,894,6695,593,ESTIMATED,ESTIMATED,ESTIMATED,a06f3e56ba45592bc3c6def6245cdddf383f68603a965c2c6a86b71c5a4a9a7e,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P2__age_subgroup,e6c517b67c73c5e11cd25fe123fca15b5b63f721dfbe88134f24ccd31b88523c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P2__age_subgroup\e6c517b67c73c5e1_3c510f4d0008.report.json,461be20ab07512cdb09c122d5933b2b215fdfded57df29eeeca812030c11212b
medicine__P2__age_subgroup,medicine,P2,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.840384 [0.820721, 0.860431]","0.562705 [0.518978, 0.60927]",2811,450,0.8403840180714386,0.8207212322713457,0.8604312086980151,0.5627045790068216,0.5189775181251222,0.6092704666697885,0.12081828526413592,0.11373382629915768,0.1274218259209379,0.5256038647342995,-0.014585556741373178,0.5,0.5,0.5,0.6044444444444445,0.867429055484964,0.46495726495726497,0.9200359389038635,272,313,2048,178,ESTIMATED,ESTIMATED,ESTIMATED,178bb200c727e2b3f91904a0379001508ab169680ec3a1076b6a6700e056ab7c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P2__age_subgroup,e6c517b67c73c5e11cd25fe123fca15b5b63f721dfbe88134f24ccd31b88523c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P2__age_subgroup\e6c517b67c73c5e1_3c510f4d0008.report.json,461be20ab07512cdb09c122d5933b2b215fdfded57df29eeeca812030c11212b
medicine__P3__age_subgroup,medicine,P3,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.913323 [0.888057, 0.935849]","0.458738 [0.389882, 0.538493]",7109,222,0.9133234439608768,0.8880567131118191,0.9358487952114164,0.4587382260417152,0.3898823243566492,0.5384932968603654,0.02167587808051568,0.020195407397852576,0.02313940305052329,0.3197278911564626,0.003094668729779153,0.5,0.5,0.5,0.21171171171171171,0.9963699724117904,0.6527777777777778,0.975131448060253,47,25,6862,175,ESTIMATED,ESTIMATED,ESTIMATED,77ee85b0882a7d8a2ca1183814aad6edc0f6d76cc29b0f4c26e4607160d668d8,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P3__age_subgroup,2bdbbf108c60b0ecde2c9e17afd87cbb2596ab9185b06919ac0d422351d78d81,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P3__age_subgroup\2bdbbf108c60b0ec_3c510f4d0008.report.json,686b124e3a94f9c8cea39e35a9ce81f446d56d7432bf5790b2dcadcdf5e19f54
medicine__P3__age_subgroup,medicine,P3,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.921606 [0.888503, 0.948862]","0.460048 [0.374657, 0.580197]",1959,91,0.9216062310280726,0.8885030182611839,0.9488615325052783,0.46004767244333344,0.37465714716390436,0.5801966900523395,0.0316233335205018,0.027921753466768836,0.03534792038221636,0.3252032520325203,0.00408371618172537,0.5,0.5,0.5,0.21978021978021978,0.9935760171306209,0.625,0.9631551634665283,20,12,1856,71,ESTIMATED,ESTIMATED,ESTIMATED,f1d44b38a2dbf5240ee0becd25305577c5f0e9b062128c5f37fc4c5c51b685a5,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\medicine__P3__age_subgroup,2bdbbf108c60b0ecde2c9e17afd87cbb2596ab9185b06919ac0d422351d78d81,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\medicine__P3__age_subgroup\2bdbbf108c60b0ec_3c510f4d0008.report.json,686b124e3a94f9c8cea39e35a9ce81f446d56d7432bf5790b2dcadcdf5e19f54
