task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__age_subgroup,surgery,P1,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.9995 [0.998498, 1]","0.625 [0.181818, 1]",6004,2,0.9995001666111297,0.9984977403500911,1.0,0.625,0.18181818181818182,1.0,0.00029397622375196237,0.0002704914235247472,0.0003178055620680667,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9996668887408394,0,0,6002,2,ESTIMATED,ESTIMATED,ESTIMATED,fc2c879487b37b00b46d9f59da9614bc1b9892914aa1889e7943259805324af7,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__age_subgroup,48b630cc889b84cf51ede906cf8c0d6cd8a1ed93eab4fc5c8bfc6e40e3e08274,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__age_subgroup\48b630cc889b84cf_3c510f4d0008.report.json,a588857d3fbdf17c083f24392efea4137a75294f289048fd64299fa309b0377e
surgery__P1__age_subgroup,surgery,P1,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.997241 [0.993586, 1]","0.507372 [0.27997, 1]",1672,5,0.9972405518896221,0.9935861515051791,1.0,0.5073717948717948,0.279969696969697,1.0,0.0028318888130898097,0.0026751523472552273,0.003009875828786754,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9970095693779905,0,0,1667,5,ESTIMATED,ESTIMATED,ESTIMATED,5137f4e178fae118bd099821c3bf15e3912ac98efd963f79616b045ee0819e0b,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__age_subgroup,48b630cc889b84cf51ede906cf8c0d6cd8a1ed93eab4fc5c8bfc6e40e3e08274,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__age_subgroup\48b630cc889b84cf_3c510f4d0008.report.json,a588857d3fbdf17c083f24392efea4137a75294f289048fd64299fa309b0377e
surgery__P1__age_subgroup,surgery,P1,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.846271 [0.679752, 0.991659]","0.185355 [0.0368328, 0.571621]",2727,7,0.8462710084033613,0.679751551590747,0.9916586544381143,0.18535455374868406,0.036832836636402,0.5716210923855909,0.0024268460611848682,0.002262634828748998,0.0025544278605958543,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9974330766409975,0,0,2720,7,ESTIMATED,ESTIMATED,ESTIMATED,47138d53cca028628544763f962caf3cad87ef3524473f6dc44ed2337937e242,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__age_subgroup,48b630cc889b84cf51ede906cf8c0d6cd8a1ed93eab4fc5c8bfc6e40e3e08274,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__age_subgroup\48b630cc889b84cf_3c510f4d0008.report.json,a588857d3fbdf17c083f24392efea4137a75294f289048fd64299fa309b0377e
surgery__P1__age_subgroup,surgery,P1,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.8861 [0.656758, 0.999275]","0.317613 [0.0689371, 0.892857]",1040,4,0.886100386100386,0.6567581108904619,0.999274696515388,0.3176129426129426,0.06893708044459118,0.8928571428571428,0.0030122651385173877,0.002257463945947664,0.003954715463964453,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9961538461538462,0,0,1036,4,ESTIMATED,ESTIMATED,ESTIMATED,9b2b06e0126f4e71f44d6b0cda7f3b5d7e435a127a19948bcdc290fa5385d4b4,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P1__age_subgroup,48b630cc889b84cf51ede906cf8c0d6cd8a1ed93eab4fc5c8bfc6e40e3e08274,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P1__age_subgroup\48b630cc889b84cf_3c510f4d0008.report.json,a588857d3fbdf17c083f24392efea4137a75294f289048fd64299fa309b0377e
surgery__P2__age_subgroup,surgery,P2,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96672 [0.934834, 0.990378]","0.238224 [0.127458, 0.460042]",6004,20,0.9667195855614973,0.9348336353468882,0.990377517282154,0.23822417503126317,0.12745761195103267,0.4600419011980379,0.00291340542877005,0.002511013709494622,0.0032688629770321414,0.09090909090909091,0.0,0.5,0.5,0.5,0.05,0.9998328877005348,0.5,0.9968343885371543,1,1,5983,19,ESTIMATED,ESTIMATED,ESTIMATED,67f8f4b6590a8f4c18151ad02879b2131a72ac78d9ca10cc48eb2988de725a76,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P2__age_subgroup,94db3a67d80d12fe05c396b4d621e78bbf0dd997390c6f50de3636d8eafaf015,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P2__age_subgroup\94db3a67d80d12fe_3c510f4d0008.report.json,fab6b1626900764d18c3609954f550d1d87e32ee20bf58df24935507fc788e38
surgery__P2__age_subgroup,surgery,P2,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.945378 [0.863849, 0.994854]","0.388937 [0.173247, 0.683325]",1672,11,0.9453779212960429,0.8638493541959099,0.994854340642557,0.3889368939256823,0.17324705355839848,0.6833247473529604,0.005059675612730792,0.0037122441022273047,0.006452246048825111,0.2857142857142857,0.0005980861244019139,0.5,0.5,0.5,0.18181818181818182,0.9993979530403372,0.6666666666666666,0.9946075494307969,2,1,1660,9,ESTIMATED,ESTIMATED,ESTIMATED,f4e2893241ddda31b1fdc367b3b29a674611d077e66c43f625e57a6ae38ed837,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P2__age_subgroup,94db3a67d80d12fe05c396b4d621e78bbf0dd997390c6f50de3636d8eafaf015,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P2__age_subgroup\94db3a67d80d12fe_3c510f4d0008.report.json,fab6b1626900764d18c3609954f550d1d87e32ee20bf58df24935507fc788e38
surgery__P2__age_subgroup,surgery,P2,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.843868 [0.808021, 0.878858]","0.320032 [0.237086, 0.418126]",2727,100,0.8438675295013323,0.8080206593738195,0.878857820328656,0.320031754791329,0.23708563441356703,0.4181264664458965,0.02957121865260297,0.027271224096646663,0.03178446525751886,0.22033898305084745,0.0029336266960029336,0.5,0.5,0.5,0.13,0.9980966882375333,0.7222222222222222,0.9678848283499446,13,5,2622,87,ESTIMATED,ESTIMATED,ESTIMATED,4c411ed3b20fdec3ce8e62b917616b000759edbdf5c09e9aa51f751f0c5f556b,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P2__age_subgroup,94db3a67d80d12fe05c396b4d621e78bbf0dd997390c6f50de3636d8eafaf015,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P2__age_subgroup\94db3a67d80d12fe_3c510f4d0008.report.json,fab6b1626900764d18c3609954f550d1d87e32ee20bf58df24935507fc788e38
surgery__P2__age_subgroup,surgery,P2,sensitivity,age_subgroup,age_subgroup / age_65_plus,age_65_plus,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.845611 [0.770538, 0.912592]","0.379031 [0.221979, 0.571872]",1040,30,0.8456105610561057,0.770537977918626,0.9125924542110719,0.3790312094511642,0.22197871989085902,0.5718718275829909,0.022698245778792224,0.018545975846767846,0.026901762305425132,0.35555555555555557,0.0009615384615384616,0.5,0.5,0.5,0.26666666666666666,0.9930693069306931,0.5333333333333333,0.9785365853658536,8,7,1003,22,ESTIMATED,ESTIMATED,ESTIMATED,6574ab6ea0a67ebff7dc13857d92a7819ea45b85980ad9bc9303486678862c9b,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P2__age_subgroup,94db3a67d80d12fe05c396b4d621e78bbf0dd997390c6f50de3636d8eafaf015,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P2__age_subgroup\94db3a67d80d12fe_3c510f4d0008.report.json,fab6b1626900764d18c3609954f550d1d87e32ee20bf58df24935507fc788e38
surgery__P3__age_subgroup,surgery,P3,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.97879 [0.950005, 0.997414]","0.429663 [0.293786, 0.662226]",6004,24,0.9787904124860647,0.950005161627426,0.9974136020196546,0.42966254127384257,0.2937858972065865,0.6622257967352899,0.0028564470762723233,0.002326650354104454,0.003363097266538863,0.3125,0.00033311125916055963,0.5,0.5,0.5,0.20833333333333334,0.9994983277591973,0.625,0.9968312208138759,5,3,5977,19,ESTIMATED,ESTIMATED,ESTIMATED,1cf8ea8eee1fc809b0b61b443b2515729cd0724264eff764db0b99b50145d57a,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__age_subgroup,735d76e947090d1e31ff87d51a90c2dd74bb2de3ec6f4ff2092e58803e1ceb14,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__age_subgroup\735d76e947090d1e_3c510f4d0008.report.json,36749f824683f1b8d486779327947991f248a732e54d00e91d7bdcc431619be5
surgery__P3__age_subgroup,surgery,P3,sensitivity,age_subgroup,age_subgroup / age_18_64,age_18_64,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.942386 [0.857838, 0.994015]","0.595767 [0.368273, 0.841291]",1672,15,0.9423858378595856,0.8578376837743797,0.9940152086035072,0.5957671288259524,0.3682734193930455,0.8412911564451941,0.005341552150161278,0.003279738636332691,0.007503485646381747,0.6153846153846154,0.0029904306220095694,0.5,0.5,0.5,0.5333333333333333,0.9981894990947495,0.7272727272727273,0.9957856712823601,8,3,1654,7,ESTIMATED,ESTIMATED,ESTIMATED,0ad28118214f4c066e4ce3232cc3a40d2452ef19ac50f55ea2ed3e784b6c3726,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__age_subgroup,735d76e947090d1e31ff87d51a90c2dd74bb2de3ec6f4ff2092e58803e1ceb14,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__age_subgroup\735d76e947090d1e_3c510f4d0008.report.json,36749f824683f1b8d486779327947991f248a732e54d00e91d7bdcc431619be5
