task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__city_holdout,surgery,P1,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.993506 [0.983607, 1]","0.416667 [0.22619, 1]",310,2,0.9935064935064936,0.9836065573770492,1.0,0.41666666666666663,0.22619047619047616,1.0,0.006446764017774868,0.006304405190137015,0.006552481895894384,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9935483870967742,0,0,308,2,ESTIMATED,ESTIMATED,ESTIMATED,506a8df26324d4fa3f8e4fac707fec71735a278fd19d058f6c457cfecbb1b9f5,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t15\r,00c65b14c0b58c78fc83946eae03f14a8430a8b773a3f8929bb5e88aeca7c4b2,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__city_holdout_validation.json,5fb3d8cd2a9f20de2c65b39ead0e2f5a8bd9df9e40b054c6c42629a516edfafc
surgery__P1__city_holdout,surgery,P1,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.5 [0.5, 0.5]","0.00291424 [0.00289495, 0.00293378]",2402,7,0.5,0.5,0.5,0.0029142381348875937,0.0028949545078577337,0.002933780385582565,0.0029079685757415017,0.002888854848509225,0.0029273386480162117,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9970857618651124,0,0,2395,7,ESTIMATED,ESTIMATED,ESTIMATED,14227739873be4e78bcd5676e5fcb2ae6c1c45601ec2c9e9cf0f48027a52b546,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T211456Z_account-01_v2\t15\r,00c65b14c0b58c78fc83946eae03f14a8430a8b773a3f8929bb5e88aeca7c4b2,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__city_holdout_validation.json,5fb3d8cd2a9f20de2c65b39ead0e2f5a8bd9df9e40b054c6c42629a516edfafc
surgery__P2__city_holdout,surgery,P2,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.876721 [0.715506, 0.992904]","0.40589 [0.0633185, 0.821277]",310,5,0.8767213114754099,0.7155064985325894,0.9929037962866922,0.405890359523139,0.06331850083344431,0.8212765957446809,0.013705413640453381,0.010381075218437664,0.016305117463637647,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9838709677419355,0,0,305,5,ESTIMATED,ESTIMATED,ESTIMATED,13532c688c30f436b937af4bd12fbb709852e3bad871cb8033c40ce9735b36cf,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t17\r,cabd4412f2b3081bbd2d7e75b79d00de7c1d7d330225146100ed4ec75b2c843d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__city_holdout_validation.json,8e845c06e4d592ece39153572ca1823fb909f8696f6e538e2e2cfe99a3c45459
surgery__P2__city_holdout,surgery,P2,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.757373 [0.665822, 0.842597]","0.0962042 [0.0468926, 0.193585]",2402,36,0.7573729689114305,0.6658216226825594,0.8425967016073163,0.09620424980452395,0.04689262378779837,0.19358462498166407,0.014682562648543049,0.014567032775587749,0.014795740000370464,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9850124895920067,0,0,2366,36,ESTIMATED,ESTIMATED,ESTIMATED,770d4adfd23aac4f81118fbd08cd8718a32c23c434302c1d4e86bb20d5e073f8,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t17\r,cabd4412f2b3081bbd2d7e75b79d00de7c1d7d330225146100ed4ec75b2c843d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__city_holdout_validation.json,8e845c06e4d592ece39153572ca1823fb909f8696f6e538e2e2cfe99a3c45459
surgery__P3__city_holdout,surgery,P3,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_ESTIMABLE_OR_NOT_REPORTED,NOT_ESTIMABLE_OR_NOT_REPORTED,NOT_ESTIMABLE_OR_NOT_REPORTED,e6c6036904171a875fed3fe23b79be7863efc8485cb3cfb940b8c8591eca7ebd,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t20\r,ab81230bdacb718f48d98507dc3f4135b5d2677c9f73aff864b09129490325b0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__city_holdout_validation.json,47c5142f7dc28cb4ad80739d04eabd97c5a91905164d37376d2c0ffecce9a7af
surgery__P3__city_holdout,surgery,P3,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.902743 [0.821258, 0.965882]","0.461513 [0.318472, 0.676472]",2402,32,0.9027426160337553,0.8212584730736622,0.965881702635843,0.4615129516290822,0.31847245646090083,0.6764717785283992,0.011221688267546912,0.010671629160438269,0.011780894991437427,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9866777685262281,0,0,2370,32,ESTIMATED,ESTIMATED,ESTIMATED,829121bc944f54e59e20b9abe539522c9d6ea0c7d73c26746051938fa737e861,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-03_v2\t20\r,ab81230bdacb718f48d98507dc3f4135b5d2677c9f73aff864b09129490325b0,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__city_holdout_validation.json,47c5142f7dc28cb4ad80739d04eabd97c5a91905164d37376d2c0ffecce9a7af
surgery__S1__city_holdout,surgery,S1,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"1 [1, 1]","1 [1, 1]",310,2,1.0,1.0,1.0,1.0,1.0,1.0,0.004852244350165773,0.004728480042175162,0.004963433042812801,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9935483870967742,0,0,308,2,ESTIMATED,ESTIMATED,ESTIMATED,506a8df26324d4fa3f8e4fac707fec71735a278fd19d058f6c457cfecbb1b9f5,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t22\r,a7ae291ac4e2aa65a3adf55740a1b9c8817b071d91ac536eea30ae3396e75c76,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__S1__city_holdout_validation.json,ddc761d28a154cfda4d107343badb43452423dfb3f9fff447a5211eef0256196
surgery__S1__city_holdout,surgery,S1,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.907303 [0.848409, 0.953894]","0.127817 [0.0362182, 0.300797]",2402,15,0.9073034492389331,0.8484091981123835,0.9538938834192243,0.127816522623599,0.03621818754723566,0.30079721944272503,0.008854173292438766,0.008340057700033276,0.00935739643279178,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9937552039966694,0,0,2387,15,ESTIMATED,ESTIMATED,ESTIMATED,7bb2bb8c0a20e5c7e0b068dc07733d9e4f1940071d89532fcafa4fe9595f623e,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-06_v2\t22\r,a7ae291ac4e2aa65a3adf55740a1b9c8817b071d91ac536eea30ae3396e75c76,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__S1__city_holdout_validation.json,ddc761d28a154cfda4d107343badb43452423dfb3f9fff447a5211eef0256196
surgery__S2__city_holdout,surgery,S2,sensitivity,city_holdout,city_holdout / new_taipei_to_taipei,new_taipei_to_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"1 [1, 1]","1 [1, 1]",310,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0032353096257821674,0.0029950011097502885,0.0035219626169760076,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9935483870967742,0,0,308,2,ESTIMATED,ESTIMATED,ESTIMATED,506a8df26324d4fa3f8e4fac707fec71735a278fd19d058f6c457cfecbb1b9f5,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t24\r,9a0ff03ea13dc8ee6cb80939a5f8640a686f8c8f8de9e29a29d89677304591e8,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__S2__city_holdout_validation.json,05a6f11ac3ef210c78ea58a3fec630cf5f2cc9254c6de586592251d332367b9b
surgery__S2__city_holdout,surgery,S2,sensitivity,city_holdout,city_holdout / taipei_to_new_taipei,taipei_to_new_taipei,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full inputs excluding city indicators,7d7d5072ef2ce2613240a30d5c141a5f36ff992825f5c63e35a0d1803e3823f8,760,"0.867055 [0.758235, 0.95554]","0.402828 [0.216314, 0.608179]",2402,22,0.8670550038197097,0.7582349999157646,0.9555395975011198,0.4028282899041184,0.21631426888673896,0.6081785502406956,0.008511240601158031,0.007415200907478159,0.009630035524718208,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9908409658617818,0,0,2380,22,ESTIMATED,ESTIMATED,ESTIMATED,94a60ff6b3ae0640e24150d1580497da7f806205fe1db5b1778b10e73932681f,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t24\r,9a0ff03ea13dc8ee6cb80939a5f8640a686f8c8f8de9e29a29d89677304591e8,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__S2__city_holdout_validation.json,05a6f11ac3ef210c78ea58a3fec630cf5f2cc9254c6de586592251d332367b9b
