task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__ed_congestion,surgery,P1,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.923665 [0.851589, 0.981797]","0.0974274 [0.0309755, 0.319166]",2712,9,0.9236650635096807,0.8515887590517254,0.9817968883844441,0.09742741453924716,0.03097547968936526,0.31916555423367315,0.0032792951160584573,0.0030324429035480252,0.0034945828950349433,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t15\r,2b474daf38124b7f28c6427e92e60a7c7fad1d816475b48a915241d024a3e227,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__ed_congestion_validation.json,ccc795a26106acf5f6267dc1e2b03c2749710d00fdfb0dd7c7c1973481a39210
surgery__P1__ed_congestion,surgery,P1,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.858074 [0.70622, 0.999617]","0.126353 [0.00260078, 0.666667]",2609,2,0.8580744150364403,0.7062200602242457,0.9996165644171779,0.1263531799729364,0.002600780234070221,0.6666666666666666,0.0007721682191040831,0.0006774277904194723,0.0008788457283606376,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9992334227673438,0,0,2607,2,ESTIMATED,ESTIMATED,ESTIMATED,7baafad375fda2e18e53f79f89204da29d291f4d4bb30acbf09b92756c80a538,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t15\r,2b474daf38124b7f28c6427e92e60a7c7fad1d816475b48a915241d024a3e227,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__ed_congestion_validation.json,ccc795a26106acf5f6267dc1e2b03c2749710d00fdfb0dd7c7c1973481a39210
surgery__P1__ed_congestion,surgery,P1,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.944259 [0.89468, 0.98596]","0.118597 [0.0427193, 0.352539]",2712,9,0.9442594647922062,0.8946800079039238,0.9859600414388126,0.1185966528826587,0.04271932893610053,0.35253891927831715,0.0032805530990375003,0.00275095236685181,0.0037336681023440814,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t15\r,2b474daf38124b7f28c6427e92e60a7c7fad1d816475b48a915241d024a3e227,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__ed_congestion_validation.json,ccc795a26106acf5f6267dc1e2b03c2749710d00fdfb0dd7c7c1973481a39210
surgery__P1__ed_congestion,surgery,P1,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.90468 [0.801143, 0.999615]","0.10202 [0.00383877, 0.666667]",2609,2,0.9046797084771768,0.8011432424168834,0.9996152403291206,0.10202020202020202,0.003838771593090211,0.6666666666666666,0.0008201694320991778,0.0007339645204140895,0.0009657221050502681,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9992334227673438,0,0,2607,2,ESTIMATED,ESTIMATED,ESTIMATED,7baafad375fda2e18e53f79f89204da29d291f4d4bb30acbf09b92756c80a538,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T191424Z_account-02_v2\t15\r,2b474daf38124b7f28c6427e92e60a7c7fad1d816475b48a915241d024a3e227,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__ed_congestion_validation.json,ccc795a26106acf5f6267dc1e2b03c2749710d00fdfb0dd7c7c1973481a39210
surgery__P2__ed_congestion,surgery,P2,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.908238 [0.864669, 0.94352]","0.319679 [0.192925, 0.463171]",2712,41,0.90823752865009,0.864669311031409,0.943519986485775,0.3196789118682415,0.1929245369274073,0.4631713310220636,0.013069211413431338,0.011296927428511381,0.014940277598214476,0.3125,-0.0011061946902654867,0.5,0.5,0.5,0.24390243902439024,0.9951329090228379,0.43478260869565216,0.9884715507623651,10,13,2658,31,ESTIMATED,ESTIMATED,ESTIMATED,21ebd3380ad1406a8f533d9a1de9595edd1deb562833aa9f07147c175011bf44,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t17\r,28e392f2e4e08d7f847ba6611ba2216a2c3b5a983adf0ae91336af69fd1e4180,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__ed_congestion_validation.json,f7e7e3f2d04c8967137e06d55554e8599d841b03e41240c6f19f5b3e4dc449d9
surgery__P2__ed_congestion,surgery,P2,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.922061 [0.881579, 0.955509]","0.300708 [0.178041, 0.465613]",2609,37,0.9220608633516876,0.8815792528134484,0.955508826812686,0.3007079436242228,0.17804056289388157,0.4656125631861674,0.01169842400163988,0.01030467548121153,0.012965694679570967,0.10256410256410256,0.0007665772326561902,0.5,0.5,0.5,0.05405405405405406,1.0,1.0,0.9865746068277714,2,0,2572,35,ESTIMATED,ESTIMATED,ESTIMATED,ae2519c162853f47701b1f6ded31a0d2f86284d036a50c5f34c963fedca4436a,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t17\r,28e392f2e4e08d7f847ba6611ba2216a2c3b5a983adf0ae91336af69fd1e4180,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__ed_congestion_validation.json,f7e7e3f2d04c8967137e06d55554e8599d841b03e41240c6f19f5b3e4dc449d9
surgery__P2__ed_congestion,surgery,P2,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.906064 [0.861579, 0.945221]","0.289277 [0.170674, 0.441788]",2712,41,0.906064230990494,0.8615787092748656,0.9452206402529227,0.2892766273051416,0.170673567968688,0.441788007314931,0.013360244878582664,0.011455033133184503,0.01528577884107532,0.3384615384615385,-0.0007374631268436578,0.5,0.5,0.5,0.2682926829268293,0.9951329090228379,0.4583333333333333,0.9888392857142857,11,13,2658,30,ESTIMATED,ESTIMATED,ESTIMATED,21ebd3380ad1406a8f533d9a1de9595edd1deb562833aa9f07147c175011bf44,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t17\r,28e392f2e4e08d7f847ba6611ba2216a2c3b5a983adf0ae91336af69fd1e4180,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__ed_congestion_validation.json,f7e7e3f2d04c8967137e06d55554e8599d841b03e41240c6f19f5b3e4dc449d9
surgery__P2__ed_congestion,surgery,P2,sensitivity,ed_congestion,ed_congestion / prehospital_only,prehospital_only,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.915493 [0.879733, 0.946087]","0.272132 [0.165012, 0.437617]",2609,37,0.9154932537514185,0.8797325641867866,0.9460873887257306,0.27213244694931304,0.16501205594339288,0.4376170117848946,0.011845423552985745,0.010418777313510217,0.013073135891166883,0.09523809523809523,-0.0003832886163280951,0.5,0.5,0.5,0.05405405405405406,0.9988335925349923,0.4,0.9865591397849462,2,3,2569,35,ESTIMATED,ESTIMATED,ESTIMATED,ae2519c162853f47701b1f6ded31a0d2f86284d036a50c5f34c963fedca4436a,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-08_v2\t17\r,28e392f2e4e08d7f847ba6611ba2216a2c3b5a983adf0ae91336af69fd1e4180,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__ed_congestion_validation.json,f7e7e3f2d04c8967137e06d55554e8599d841b03e41240c6f19f5b3e4dc449d9
surgery__P3__ed_congestion,surgery,P3,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,test_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.955352 [0.913721, 0.985796]","0.602915 [0.438779, 0.78458]",2712,32,0.955352145522388,0.9137212558912806,0.9857957787096882,0.602915456086876,0.43877942318146645,0.784579501958548,0.0065921658662306875,0.00506060040997012,0.008152675519508528,0.5833333333333334,0.004424778761061947,0.5,0.5,0.5,0.4375,0.9992537313432835,0.875,0.9933234421364985,14,2,2678,18,ESTIMATED,ESTIMATED,ESTIMATED,8362377c52501bcb78d857c69f7a66e78bcb3e8291d74a36208230b84f828621,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t20\r,b507ca72b31a451d075659aa5e68cba7134a53ca56cc0087e3b8bcf3b500819c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__ed_congestion_validation.json,386ba4b82a550dbe09d3975983981161c4e30ff8d65ccb06582e4a20f40409b3
surgery__P3__ed_congestion,surgery,P3,sensitivity,ed_congestion,ed_congestion / plus_congestion_tminus1h,plus_congestion_tminus1h,validation_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full prehospital inputs plus t-minus-1h congestion and 6/24h summaries,f287c3dae964c717ae49fa0c3910a9020512c3b7aff4b075e496556d847bbf3f,784,"0.961931 [0.924922, 0.990366]","0.503001 [0.319171, 0.732191]",2609,21,0.9619305218223302,0.924921802720558,0.9903658439225459,0.5030013915965553,0.31917056955136297,0.732191358538518,0.005719081834984906,0.004636402429552491,0.006703424561902563,0.08695652173913043,0.0,0.5,0.5,0.5,0.047619047619047616,0.999613601236476,0.5,0.9923283467587265,1,1,2587,20,ESTIMATED,ESTIMATED,ESTIMATED,59108f67973d7b32ecbcce23ebd21ae173dc11a679118bddc2c6291fbb74ecbc,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Fit2020-22; validation2023/test2024; no 2023 refit.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t20\r,b507ca72b31a451d075659aa5e68cba7134a53ca56cc0087e3b8bcf3b500819c,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P3__ed_congestion_validation.json,386ba4b82a550dbe09d3975983981161c4e30ff8d65ccb06582e4a20f40409b3
