id,group,outcome,model,role,trained_population,target_n,missing_target_rows,coverage,n,events,AUROC,AUPRC,Brier,prevalence
overall_P1_decision_tree,overall,P1,decision_tree,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.7279049661087287,0.03953647865860491,0.09874378120434407,0.00823158183564275
medicine_P1_decision_tree,medicine,P1,decision_tree,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.7689491892647471,0.12128015813537543,0.13948096886559722,0.020545073375262055
surgery_P1_decision_tree,surgery,P1,decision_tree,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.8791260739096477,0.2868485742379548,0.03767906628561839,0.00331858407079646
overall_P1_random_forest,overall,P1,random_forest,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.931673352699774,0.15759245592260898,0.010768798837663601,0.00823158183564275
medicine_P1_random_forest,medicine,P1,random_forest,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.9377642752306402,0.42891968296544986,0.019852912842123326,0.020545073375262055
surgery_P1_random_forest,surgery,P1,random_forest,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.9852838409997122,0.7436477174849268,0.0023673000228213756,0.00331858407079646
overall_P1_balanced_random_forest,overall,P1,balanced_random_forest,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.933360999677226,0.17570458812104678,0.1170646000251943,0.00823158183564275
medicine_P1_balanced_random_forest,medicine,P1,balanced_random_forest,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.9325530297735533,0.3321315434279332,0.1663414982962577,0.020545073375262055
surgery_P1_balanced_random_forest,surgery,P1,balanced_random_forest,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.9667858757758869,0.4381127507288104,0.04143489943885565,0.00331858407079646
overall_P1_svm_rbf,overall,P1,svm_rbf,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.8614100613270622,0.07018574391921922,0.00799920928355561,0.00823158183564275
medicine_P1_svm_rbf,medicine,P1,svm_rbf,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.8775422840369024,0.14471092189758075,0.01958392319470423,0.020545073375262055
surgery_P1_svm_rbf,surgery,P1,svm_rbf,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.9771036297118427,0.16554960773910246,0.0032339569251249385,0.00331858407079646
overall_P1_logistic_l1,overall,P1,logistic_l1,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.7618066122561904,0.07497941936357126,0.04485049346018437,0.00823158183564275
medicine_P1_logistic_l1,medicine,P1,logistic_l1,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.7611257688006711,0.24124942173205824,0.07401746897960167,0.020545073375262055
surgery_P1_logistic_l1,surgery,P1,logistic_l1,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.8504542278127184,0.36684841818872893,0.005788983224929383,0.00331858407079646
overall_P1_logistic_l2,overall,P1,logistic_l2,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,60,0.7732143680545949,0.07386469797937395,0.04749436606522881,0.00823158183564275
medicine_P1_logistic_l2,medicine,P1,logistic_l2,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,98,0.7829525003494548,0.2542020695370191,0.07725807361360788,0.020545073375262055
surgery_P1_logistic_l2,surgery,P1,logistic_l2,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,9,0.8786533481317054,0.49864864111639345,0.005952286388437176,0.00331858407079646
overall_P1_score_NEWS2,overall,P1,score_NEWS2,overall_trained_single_score_logistic_probability,overall,7289,6256,score_component_available_subset_of_current_cohort,1033,43,0.7292811839323466,0.10761516790070563,0.21277931766159697,0.041626331074540175
medicine_P1_score_NEWS2,medicine,P1,score_NEWS2,overall_trained_single_score_logistic_probability,overall,4770,3784,score_component_available_subset_of_current_cohort,986,43,0.7292411650102345,0.11181918996651326,0.2147269329901298,0.0436105476673428
surgery_P1_score_NEWS2,surgery,P1,score_NEWS2,overall_trained_single_score_logistic_probability,overall,2712,2634,score_component_available_subset_of_current_cohort,78,1,0.8116883116883117,0.058823529411764705,0.17847394142324463,0.01282051282051282
overall_P1_score_rSIG,overall,P1,score_rSIG,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,60,0.8816659743376719,0.07487532411642683,0.18343021543875596,0.008239494644328481
medicine_P1_score_rSIG,medicine,P1,score_rSIG,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,58,0.8693967427008693,0.08058779222669804,0.20812593162152154,0.01268591426071741
surgery_P1_score_rSIG,surgery,P1,score_rSIG,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5403946388682055,0.03886804252657911,0.14142781323081863,0.000744047619047619
overall_P1_score_rSIG_Age,overall,P1,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,7289,13,score_component_available_subset_of_current_cohort,7276,60,0.9099062269031781,0.085654905365985,0.17106247842262823,0.008246289169873557
medicine_P1_score_rSIG_Age,medicine,P1,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,4770,201,score_component_available_subset_of_current_cohort,4569,58,0.8873195025187474,0.09179872762284269,0.21583451220091018,0.012694243817027795
surgery_P1_score_rSIG_Age,surgery,P1,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,2,0.8352590383898622,0.008077816296994379,0.09622997398482752,0.0007448789571694599
overall_P1_score_SIA_G,overall,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,7289,13,score_component_available_subset_of_current_cohort,7276,60,0.9099039172209904,0.08565112688994159,0.14197926506497366,0.008246289169873557
medicine_P1_score_SIA_G,medicine,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,4770,201,score_component_available_subset_of_current_cohort,4569,58,0.8873175914813598,0.09179587022579856,0.1720718195713201,0.012694243817027795
surgery_P1_score_SIA_G,surgery,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,2,0.8352590383898622,0.008077816296994379,0.09151589652714368,0.0007448789571694599
overall_P1_score_SI_G,overall,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,60,0.881654435521093,0.07487532411642682,0.15933450946331373,0.008239494644328481
medicine_P1_score_SI_G,medicine,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,58,0.8693795547950438,0.08058779222669803,0.17940262545242333,0.01268591426071741
surgery_P1_score_SI_G,surgery,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5403946388682055,0.03886804252657911,0.1253859534449592,0.000744047619047619
