split,outcome,step,rows,events,retained_rate
train_2020_2023,y_P1,eligible_development_cohort,24784,138,1.0
train_2020_2023,y_P1,core_vitals_complete,22424,97,0.9047772756617172
train_2020_2023,y_P1,all_continuous_and_scores_complete,54,5,0.0021788250484183
train_2020_2023,y_P2,eligible_development_cohort,24784,1701,1.0
train_2020_2023,y_P2,core_vitals_complete,22424,1458,0.9047772756617172
train_2020_2023,y_P2,all_continuous_and_scores_complete,54,21,0.0021788250484183
train_2020_2023,y_P3,eligible_development_cohort,24784,759,1.0
train_2020_2023,y_P3,core_vitals_complete,22424,613,0.9047772756617172
train_2020_2023,y_P3,all_continuous_and_scores_complete,54,7,0.0021788250484183
train_2020_2023,y_S1,eligible_development_cohort,24784,460,1.0
train_2020_2023,y_S1,core_vitals_complete,22424,365,0.9047772756617172
train_2020_2023,y_S1,all_continuous_and_scores_complete,54,12,0.0021788250484183
train_2020_2023,y_S2,eligible_development_cohort,24784,748,1.0
train_2020_2023,y_S2,core_vitals_complete,22424,629,0.9047772756617172
train_2020_2023,y_S2,all_continuous_and_scores_complete,54,17,0.0021788250484183
train_2020_2023,y_S3,eligible_development_cohort,24784,7664,1.0
train_2020_2023,y_S3,core_vitals_complete,22424,6719,0.9047772756617172
train_2020_2023,y_S3,all_continuous_and_scores_complete,54,23,0.0021788250484183
train_2020_2023,y_S4,eligible_development_cohort,24784,2512,1.0
train_2020_2023,y_S4,core_vitals_complete,22424,2219,0.9047772756617172
train_2020_2023,y_S4,all_continuous_and_scores_complete,54,16,0.0021788250484183
train_2020_2023,y_S5,eligible_development_cohort,24784,385,1.0
train_2020_2023,y_S5,core_vitals_complete,22424,312,0.9047772756617172
train_2020_2023,y_S5,all_continuous_and_scores_complete,54,2,0.0021788250484183
train_2020_2023,y_S6,eligible_development_cohort,24784,1121,1.0
train_2020_2023,y_S6,core_vitals_complete,22424,947,0.9047772756617172
train_2020_2023,y_S6,all_continuous_and_scores_complete,54,6,0.0021788250484183
validation_2024,y_P1,eligible_development_cohort,7504,107,1.0
validation_2024,y_P1,core_vitals_complete,6308,47,0.8406183368869936
validation_2024,y_P1,all_continuous_and_scores_complete,17,2,0.0022654584221748
validation_2024,y_P2,eligible_development_cohort,7504,609,1.0
validation_2024,y_P2,core_vitals_complete,6308,438,0.8406183368869936
validation_2024,y_P2,all_continuous_and_scores_complete,17,5,0.0022654584221748
validation_2024,y_P3,eligible_development_cohort,7504,285,1.0
validation_2024,y_P3,core_vitals_complete,6308,199,0.8406183368869936
validation_2024,y_P3,all_continuous_and_scores_complete,17,3,0.0022654584221748
validation_2024,y_S1,eligible_development_cohort,7504,191,1.0
validation_2024,y_S1,core_vitals_complete,6308,112,0.8406183368869936
validation_2024,y_S1,all_continuous_and_scores_complete,17,2,0.0022654584221748
validation_2024,y_S2,eligible_development_cohort,7504,291,1.0
validation_2024,y_S2,core_vitals_complete,6308,192,0.8406183368869936
validation_2024,y_S2,all_continuous_and_scores_complete,17,2,0.0022654584221748
validation_2024,y_S3,eligible_development_cohort,7504,2144,1.0
validation_2024,y_S3,core_vitals_complete,6308,1779,0.8406183368869936
validation_2024,y_S3,all_continuous_and_scores_complete,17,8,0.0022654584221748
validation_2024,y_S4,eligible_development_cohort,7504,756,1.0
validation_2024,y_S4,core_vitals_complete,6308,600,0.8406183368869936
validation_2024,y_S4,all_continuous_and_scores_complete,17,2,0.0022654584221748
validation_2024,y_S5,eligible_development_cohort,7504,104,1.0
validation_2024,y_S5,core_vitals_complete,6308,72,0.8406183368869936
validation_2024,y_S5,all_continuous_and_scores_complete,17,1,0.0022654584221748
validation_2024,y_S6,eligible_development_cohort,7504,330,1.0
validation_2024,y_S6,core_vitals_complete,6308,258,0.8406183368869936
validation_2024,y_S6,all_continuous_and_scores_complete,17,0,0.0022654584221748
