entity_id,group,outcome,model,model_variant,split,scope,n,events,bin,rows,mean_prediction,event_rate
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,0,1,633,0.014010769166464302,0.0
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,0,2,633,0.018504940263197225,0.0
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,1,3,633,0.028127204691535113,0.001579778830963665
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,1,4,633,0.057997481247165944,0.001579778830963665
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,2,5,633,0.14266641587489778,0.00315955766192733
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,3,6,633,0.33018311262601546,0.004739336492890996
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,3,7,632,0.4813511941723431,0.004746835443037975
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,3,8,632,0.5090497262492965,0.004746835443037975
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,11,9,632,0.7250859380900105,0.01740506329113924
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,59,10,632,0.8774697774007351,0.09335443037974683
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,0,1,633,0.0005691135070070934,0.0
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,0,2,633,0.0008850240234137104,0.0
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,0,3,633,0.001199750538853293,0.0
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,2,4,633,0.0015541306332065533,0.00315955766192733
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,4,5,633,0.001983312386039647,0.00631911532385466
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,0,6,633,0.002586651954995896,0.0
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,2,7,632,0.003462069383358667,0.0031645569620253164
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,4,8,632,0.00488237457936354,0.006329113924050633
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,5,9,632,0.008389072818242027,0.007911392405063292
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,66,10,632,0.07125200837991202,0.10443037974683544
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,3,1,633,0.013466380695454883,0.004739336492890996
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,0,2,633,0.017488680726967718,0.0
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,1,3,633,0.020610152227336198,0.001579778830963665
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,2,4,633,0.02406666364291268,0.00315955766192733
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,5,5,633,0.028032366192265522,0.007898894154818325
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,2,6,633,0.03363248061735954,0.00315955766192733
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,1,7,632,0.04479840637149313,0.0015822784810126582
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,4,8,632,0.07332628395384815,0.006329113924050633
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,14,9,632,0.1667716269959,0.022151898734177215
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,51,10,632,0.6313241781973387,0.08069620253164557
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,1,1,633,0.02227163421634532,0.001579778830963665
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,0,2,633,0.02282531754265276,0.0
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,0,3,633,0.02424483175432136,0.0
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,1,4,633,0.028732050171984127,0.001579778830963665
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,0,5,633,0.04513059226328163,0.0
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,5,6,633,0.10446550101512604,0.007898894154818325
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,0,7,632,0.2182742955186699,0.0
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,1,8,632,0.36527537804427024,0.0015822784810126582
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,6,9,632,0.5286990165521827,0.00949367088607595
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,69,10,632,0.8109827916833419,0.10917721518987342
