entity_id,group,outcome,model,model_sha256,bound_document_count,recorded_field_count,seed,final_fit_rows,context_rows,context_row_policy,runtime_packages,stack_member_order
v2|P1|overall|rSI_sMS,overall,P1,rSI_sMS,3ac455bf04f5913d137b28d987ca9f2a68962cda46a99578457cbea462d6575a,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|logistic_regression,overall,P1,logistic_regression,ed41a3084f1051626d70bb380031d0999528267ece311fcfeaaa4cc134552474,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|catboost,overall,P1,catboost,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|xgboost,overall,P1,xgboost,e6d348c174b82b0e0072b241be730ca7f375c2b5525a00858b2acd22e40f3c05,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|lightgbm,overall,P1,lightgbm,bf271da47511deb44fbbc318ed179284dbd83cf5e55a44a7c71d6556d48e819e,8,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|bert_finetuned,overall,P1,bert_finetuned,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,22,4,20260715.0,,,,,
v2|P1|overall|mlp_plr,overall,P1,mlp_plr,e12ce512bbd83ec0e6ea2e5ad4c16592adbde6f338dfa9b80f4f5f86cc8eb6fa,18,2,20260715.0,,,,,
v2|P1|overall|ft_transformer,overall,P1,ft_transformer,fcc71eaee742b5cbea1ad293a46e24378426385f3d8e7d0c249447db768ad365,30,2,20260715.0,,,,,
v2|P1|overall|cnn_1d,overall,P1,cnn_1d,d7795a96b6fdf7d2a37e8f44af6d52ccbfb6cfeb3895a517a572a19c2444dd74,11,1,,,,,,
v2|P1|overall|tabpfn,overall,P1,tabpfn,bf6489dd7a19b57da91994073086580939cb3b4941689743c212569596257863,8,9,20260716.0,,,full_or_model_limit,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|tabicl,overall,P1,tabicl,0a7e5dd08eff1a2351343661479fc33830735a2c8f56300848de38e7f532a2f1,10,11,20260716.0,,,full_or_model_limit,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P1|overall|stacking,overall,P1,stacking,6168ecc99271a9b6956453c930d0fec36b43219b4101f6d2aee6f18cf5af5cc3,9,2,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""balanced_random_forest"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_standard"",""tabicl""]"
v2|P2|overall|rSI_sMS,overall,P2,rSI_sMS,763901b5b1ee3ef12e55bb7bc6a516e0b444ccd44e600c229b02352f7b85bf83,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P2|overall|logistic_regression,overall,P2,logistic_regression,d8cb9035ce590a108d1e2fecf3b629e3181767b2fb964d458bfd35bb7d542266,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P2|overall|catboost,overall,P2,catboost,e111b4861670f57366f3368e0f663b6b340467e979d9cbb461a1e25400f2862e,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P2|overall|xgboost,overall,P2,xgboost,c1cafc777f34f22d8edbc404183238f2b8a52320eb36e4057d07188ee55a80d4,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P2|overall|lightgbm,overall,P2,lightgbm,73cf53d4f963242dd5c52224d37ca8803413bdce51d5776df64b0af8ad634275,8,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|P2|overall|bert_finetuned,overall,P2,bert_finetuned,8d275b51892ce8261a897675daf10c5b5d0cad9d8298aac99fc0bffcace9be19,22,4,20260715.0,,,,,
v2|P2|overall|mlp_plr,overall,P2,mlp_plr,8ee476c461d25e1ae03af509a06cab8affd6b41cfa0857a4e96ae92b8eb1cc86,18,2,20260715.0,,,,,
v2|P2|overall|ft_transformer,overall,P2,ft_transformer,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066,30,2,20260715.0,,,,,
