entity_id,group,outcome,model,model_variant,split,scope,n,events,AUROC,AUPRC,Brier,calibration_intercept,calibration_slope,ECE,observed_expected_ratio
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,bert_finetuned,external_2025,current_frozen_aggregate,6326,83,0.8977881733565689,0.28350489361633463,0.18528822013818375,-4.970198281730622,1.1164893167392664,0.3051156679901801,0.04122867991799533
v3|P1|medicine|catboost,medicine,P1,catboost,catboost__raw,external_2025,current_frozen_aggregate,6326,83,0.9177642815374907,0.3697815270662545,0.010170306267895867,0.6628256593361747,1.0848209501450194,0.004655556788702109,1.3570225840722057
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,cnn_1d,external_2025,current_frozen_aggregate,6326,83,0.8517780878439273,0.2502145992862692,0.048444752259904446,-3.4993899013562397,0.5534716656342243,0.09215304766432125,0.12463207643925953
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,ft_transformer,external_2025,current_frozen_aggregate,6326,83,0.9260241349829882,0.30673007035316857,0.10723090893060944,-4.424303094222614,1.1892639341303843,0.203802933965327,0.060484281158449976
v3|P1|medicine|lightgbm,medicine,P1,lightgbm,lightgbm__raw,external_2025,current_frozen_aggregate,6326,83,0.9247562088816582,0.3195344131733402,0.010679807730177421,0.7239852396987695,1.099345471198563,0.004721048347539906,1.3741505712748867
v3|P1|medicine|logistic_regression,medicine,P1,logistic_regression,logistic_l2__platt,external_2025,current_frozen_aggregate,6326,83,0.7840366752931959,0.16818423883008676,0.012163868073886506,0.49286314282987176,1.0519564830842112,0.0051542938092054786,1.314513661396309
v3|P1|medicine|mlp_plr,medicine,P1,mlp_plr,mlp_plr,external_2025,current_frozen_aggregate,6326,83,0.9020995080755506,0.30923513291987004,0.21223836935538185,-5.155209960894908,1.5997418509389778,0.4237024889781321,0.03003609457088747
v3|P1|medicine|rSI_sMS,medicine,P1,rSI_sMS,score_rSI_sMS__platt,external_2025,current_frozen_aggregate,6139,53,0.7858617674960782,0.06798457680423009,0.008381489192820963,0.7107527417599726,1.1229420767017608,0.004144615035885665,1.1933568107965271
v3|P1|medicine|stacking,medicine,P1,stacking,stacking,external_2025,current_frozen_aggregate,6326,83,0.9305188075705029,0.3773068704750853,0.11470138081978988,-4.513015342907166,0.691662097939552,0.28414336886387326,0.044137409933696935
v3|P1|medicine|tabicl,medicine,P1,tabicl,tabicl__platt,external_2025,current_frozen_aggregate,6326,83,0.9193120391223712,0.3567678267091704,0.010047187584118066,0.16305566957159953,1.0254294958153032,0.002849673985017594,1.0723834466053763
v3|P1|medicine|tabpfn,medicine,P1,tabpfn,tabpfn_standard_cloud_v3,external_2025,current_frozen_aggregate,6326,83,0.9175133981384452,0.3469588690314029,0.010259274160200662,0.46485762811055215,1.0125273737394023,0.004095306754707074,1.3997900536905106
v3|P1|medicine|xgboost,medicine,P1,xgboost,xgboost__raw,external_2025,current_frozen_aggregate,6326,83,0.9142847217799598,0.33983968710777157,0.010799570888351852,1.1466553881216326,1.217862971046857,0.005838896532366264,1.4472265536003222
