outcome,reference_model,curve,curve_type,model_family,threshold,net_benefit,n,events,prevalence,entity_id,group,model,model_variant,split,scope,row_set_sha256,patient_groups
P1,score_rSI_sMS,score_rSI_sMS,model,traditional_score,0.01,-0.001761336786717499,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_all,treat_all,reference,0.01,-0.0017862809740982338,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_none,treat_none,reference,0.01,0.0,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,score_rSI_sMS,model,traditional_score,0.015,-0.006790010397421048,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_all,treat_all,reference,0.015,-0.006871490522190101,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_none,treat_none,reference,0.015,0.0,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,score_rSI_sMS,model,traditional_score,0.02,-0.011862997359734126,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_all,treat_all,reference,0.02,-0.012008589963629848,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,treat_none,treat_none,reference,0.02,0.0,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
P1,score_rSI_sMS,score_rSI_sMS,model,traditional_score,0.025,-0.016902884923189497,7289,60,0.00823158183564275,v2|P1|overall|rSI_sMS,overall,rSI_sMS,score_rSI_sMS,validation_2024,current_exact_validation_2024_dca,5bc3a9212d70b9b6f124494d50381f6396083943a9add844343de1489e97a3ac,6434
