entity_id,task_id,group,outcome,model,model_variant,split,source_split,scope,n,events_total,model_sha256,sealed_spec_sha256,bin,rows,events,mean_prediction,event_rate,prediction_min,prediction_max
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,1,928,0,0.272360608945119,0.0,0.23683246970176697,0.3079729378223419
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,2,928,4,0.3079729378223419,0.004310344827586207,0.3079729378223419,0.3079729378223419
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,3,928,0,0.4674220486897333,0.0,0.3079729378223419,0.6337489485740662
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,4,928,1,0.6867754944953425,0.0010775862068965517,0.6340739130973816,0.7370753288269043
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,5,927,6,0.7666978077338095,0.006472491909385114,0.7370753288269043,0.7950308918952942
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,6,927,1,0.817620413395965,0.0010787486515641855,0.7950607538223267,0.8387416005134583
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,7,927,3,0.852878501564425,0.003236245954692557,0.838771402835846,0.8650334477424622
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,8,927,3,0.8765595727625274,0.003236245954692557,0.8650361895561218,0.8867283463478088
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,9,927,14,0.8932050497400722,0.015102481121898598,0.8867337107658386,0.9009519815444946
v2|P1|overall|bert_finetuned,P1_06-P1-bert_finetuned,overall,P1,bert_finetuned,bert_finetuned,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,822eae85f4f28b49a018a2afba574c90f58a33c5c096df6257da53cec3c5c711,5ba3177f9bcbe7ee8623f2381f25e4e238440de6e7e459da708e6692e2ca8037,10,927,24,0.911416272643829,0.025889967637540454,0.9009584784507751,0.9418870210647583
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,1,928,0,0.00018603104536270033,0.0,0.00010123318604464735,0.00023890939320336227
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,2,928,0,0.00029035399753503513,0.0,0.00023909131891785055,0.0003432333370488316
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,3,928,0,0.00041076728006719186,0.0,0.0003433097474145762,0.00048439338104671947
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,4,928,3,0.0005879824176929318,0.003232758620689655,0.0004844762946280861,0.0007170841758055726
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,5,927,2,0.0008726351354192666,0.002157497303128371,0.0007179680247441205,0.0010517596327365294
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,6,927,0,0.0012679037049067854,0.0,0.0010517747150955653,0.0015161734752239411
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,7,927,0,0.001837577693403136,0.0,0.0015162480088308093,0.0022306089683155833
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,8,927,2,0.0028677689541624207,0.002157497303128371,0.0022308655708536255,0.003718821096638473
v2|P1|overall|catboost,P1_06-P1-catboost,overall,P1,catboost,catboost,external_2025,test_2025,authorized_sealed_prediction_calibration_reporting,9274,56,e404e0a3a84bc6d22f27a8cd5b95c21896ecd3ddd089b113159b92583c006f5f,a7947be104bb392645af2282bc5d7c761ed9a6aa78532827768dc81587062db0,9,927,6,0.005600874896738699,0.006472491909385114,0.0037189222819247604,0.008891188138623086
