split_year,score,required_components,rows,available_n,available_rate,mean_observed_components
2020,NEWS2,7,5305,662,0.1247879359095193,5.997549481621112
2020,MEWS,5,5305,5160,0.9726672950047124,4.895758718190386
2020,REMS,6,5305,5024,0.9470311027332704,5.837134778510839
2020,RTS,3,5305,5124,0.9658812441093308,2.9163053722902923
2020,qSOFA,3,5305,5160,0.9726672950047124,2.9504241281809613
2021,NEWS2,7,5905,680,0.1151566469093988,5.80762066045724
2021,MEWS,5,5905,5536,0.937510584250635,4.752582557154954
2021,REMS,6,5905,5331,0.9027942421676546,5.652328535139712
2021,RTS,3,5905,5493,0.9302286198137172,2.8079593564775616
2021,qSOFA,3,5905,5536,0.937510584250635,2.8775613886536835
2022,NEWS2,7,6835,873,0.1277249451353328,5.92114118507681
2022,MEWS,5,6835,6543,0.957278712509144,4.834089246525238
2022,REMS,6,6835,6192,0.90592538405267,5.735918068763716
2022,RTS,3,6835,6493,0.9499634235552304,2.870080468178493
2022,qSOFA,3,6835,6545,0.9575713240673006,2.9190929041697147
2023,NEWS2,7,6739,824,0.1222733343225997,6.033387742988574
2023,MEWS,5,6739,6603,0.9798189642380176,4.926546965425137
2023,REMS,6,6739,5871,0.8711975070485235,5.792995993470841
2023,RTS,3,6739,6575,0.9756640451105504,2.9421279121531385
2023,qSOFA,3,6739,6604,0.9799673542068555,2.965128357323045
2024,NEWS2,7,7504,1065,0.1419243070362473,6.047441364605544
2024,MEWS,5,7504,7336,0.9776119402985076,4.918843283582089
2024,REMS,6,7504,6306,0.8403518123667377,5.753065031982943
2024,RTS,3,7504,7282,0.9704157782515992,2.933502132196162
2024,qSOFA,3,7504,7337,0.9777452025586354,2.961886993603412
