group,analysis_split,outcome,n,events,patient_groups,row_set_sha256,group_set_sha256
medicine,train_2020_2023,P1,15995,129,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,P2,15995,1581,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,P3,15995,703,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S1,15995,427,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S2,15995,696,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S3,15995,6010,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S4,15995,2086,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S5,15995,351,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,train_2020_2023,S6,15995,1018,12203,90328990dd3a6ffbc3bf59b5d8f16b5c002fb269370cf99bae78713cbcf56766,6d5b55bf7a5289a12316825719505039811fe36de1e4e02c87e02ba7e4393dde
medicine,validation_2024,P1,4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,53d0db8e6838b3834c4523bba82b0cd5837cb04e2b0c9f678b17bab60a17cbd5
medicine,validation_2024,P2,4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,53d0db8e6838b3834c4523bba82b0cd5837cb04e2b0c9f678b17bab60a17cbd5
medicine,validation_2024,P3,4770,253,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,53d0db8e6838b3834c4523bba82b0cd5837cb04e2b0c9f678b17bab60a17cbd5
medicine,validation_2024,S1,4770,174,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,53d0db8e6838b3834c4523bba82b0cd5837cb04e2b0c9f678b17bab60a17cbd5
medicine,validation_2024,S2,4770,267,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,53d0db8e6838b3834c4523bba82b0cd5837cb04e2b0c9f678b17bab60a17cbd5
