group,analysis_split,method,feature_x,feature_y,feature_x_group,feature_y_group,pair_n,correlation
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_sbp,vital,vital,15202,0.1346286987642959
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_dbp,vital,vital,14251,-0.041503168001107
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_hr,vital,vital,15113,-0.04731530591233461
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_rr,vital,vital,15113,0.11820971379608596
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_spo2,vital,vital,15110,-0.17583003612844572
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_bt,vital,vital,15109,0.12562028393357233
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_gcs,vital,vital,14961,-0.2065719449818923
medicine,train_2020_2023,pearson,EMT_年齡,prehosp_gcs_m,vital,vital,14962,-0.18112768740979515
medicine,train_2020_2023,pearson,EMT_年齡,MAP,vital,derived_score,14251,0.05295480468593241
medicine,train_2020_2023,pearson,EMT_年齡,SI,vital,derived_score,15109,-0.09479013172065434
medicine,train_2020_2023,pearson,EMT_年齡,mSI,vital,derived_score,14251,-0.05042934580874921
medicine,train_2020_2023,pearson,EMT_年齡,aSI,vital,derived_score,15109,0.6184699630484587
medicine,train_2020_2023,pearson,EMT_年齡,rSI,vital,derived_score,15109,0.14379878726254522
medicine,train_2020_2023,pearson,EMT_年齡,rSIG,vital,derived_score,14957,0.02529396726432973
medicine,train_2020_2023,pearson,EMT_年齡,rSIG_Age,vital,derived_score,14957,-0.7210642123271345
medicine,train_2020_2023,pearson,EMT_年齡,SI_G,vital,derived_score,14957,0.08950087843302285
medicine,train_2020_2023,pearson,EMT_年齡,SIA_G,vital,derived_score,14957,0.3756130433850419
medicine,train_2020_2023,pearson,EMT_年齡,SIAVPU,vital,derived_score,15109,-0.20313148387154892
medicine,train_2020_2023,pearson,EMT_年齡,sMS,vital,derived_score,14962,-0.21631102399851068
medicine,train_2020_2023,pearson,EMT_年齡,rSI_sMS,vital,derived_score,14958,0.012845499544469488
medicine,train_2020_2023,pearson,EMT_年齡,rSI_GCS,vital,derived_score,14957,0.02529396726432973
medicine,train_2020_2023,pearson,EMT_年齡,rSI_GCSM,vital,derived_score,14958,0.04176593308381159
medicine,train_2020_2023,pearson,EMT_年齡,qSOFA,vital,derived_score,15109,0.1905164413595497
medicine,train_2020_2023,pearson,EMT_年齡,NEWS2,vital,derived_score,2910,0.09748983090672537
medicine,train_2020_2023,pearson,EMT_年齡,MEWS,vital,derived_score,15106,0.13896038584693723
medicine,train_2020_2023,pearson,EMT_年齡,REMS,vital,derived_score,14107,0.7802996807175566
medicine,train_2020_2023,pearson,EMT_年齡,RTS,vital,derived_score,14957,-0.18150717666941768
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_dbp,vital,vital,14253,0.6898217854298104
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_hr,vital,vital,15116,0.049626865270025945
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_rr,vital,vital,15116,-0.013748276812977057
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_spo2,vital,vital,15114,0.11081157059947984
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_bt,vital,vital,15113,0.027038418758900118
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_gcs,vital,vital,14964,0.08275880003780127
medicine,train_2020_2023,pearson,prehosp_sbp,prehosp_gcs_m,vital,vital,14965,0.07783526345606395
medicine,train_2020_2023,pearson,prehosp_sbp,MAP,vital,derived_score,14253,0.9092408633365384
medicine,train_2020_2023,pearson,prehosp_sbp,SI,vital,derived_score,15116,-0.6722011792471084
medicine,train_2020_2023,pearson,prehosp_sbp,mSI,vital,derived_score,14253,-0.5668189135449612
medicine,train_2020_2023,pearson,prehosp_sbp,aSI,vital,derived_score,15109,-0.4293078655978016
medicine,train_2020_2023,pearson,prehosp_sbp,rSI,vital,derived_score,15116,0.6883818255256461
medicine,train_2020_2023,pearson,prehosp_sbp,rSIG,vital,derived_score,14964,0.5888132941740903
medicine,train_2020_2023,pearson,prehosp_sbp,rSIG_Age,vital,derived_score,14957,0.2278036351968302
medicine,train_2020_2023,pearson,prehosp_sbp,SI_G,vital,derived_score,14964,-0.3523546799315118
medicine,train_2020_2023,pearson,prehosp_sbp,SIA_G,vital,derived_score,14957,-0.27498519294486873
medicine,train_2020_2023,pearson,prehosp_sbp,SIAVPU,vital,derived_score,15116,-0.5433377511516014
medicine,train_2020_2023,pearson,prehosp_sbp,sMS,vital,derived_score,14965,0.08627989718017375
medicine,train_2020_2023,pearson,prehosp_sbp,rSI_sMS,vital,derived_score,14965,0.5790947167383514
medicine,train_2020_2023,pearson,prehosp_sbp,rSI_GCS,vital,derived_score,14964,0.5888132941740902
medicine,train_2020_2023,pearson,prehosp_sbp,rSI_GCSM,vital,derived_score,14965,0.5963403975112557
medicine,train_2020_2023,pearson,prehosp_sbp,qSOFA,vital,derived_score,15116,-0.3806202670845202
