group,analysis_split,feature,n,missing_n,missing_rate
medicine,train_2020_2023,EMT_年齡,15995,8,0.0005001562988433886
medicine,train_2020_2023,MISS_EMT_年齡,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_年齡__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_年齡__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_年齡__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_年齡__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_發生地點_到慈濟_開車km,15995,16,0.0010003125976867772
medicine,train_2020_2023,MISS_EMT_發生地點_到慈濟_開車km,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_開車km__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_開車km__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_開車km__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_開車km__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_發生地點_到慈濟_直線km,15995,16,0.0010003125976867772
medicine,train_2020_2023,MISS_EMT_發生地點_到慈濟_直線km,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_直線km__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_直線km__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_直線km__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_發生地點_到慈濟_直線km__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_反應時間分,15995,23,0.001437949359174742
medicine,train_2020_2023,MISS_EMT_反應時間分,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_反應時間分__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_反應時間分__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_反應時間分__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_反應時間分__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場停留分,15995,0,0.0
medicine,train_2020_2023,MISS_EMT_現場停留分,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場停留分__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場停留分__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場停留分__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場停留分__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_送醫途中分,15995,0,0.0
medicine,train_2020_2023,MISS_EMT_送醫途中分,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_送醫途中分__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_送醫途中分__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_送醫途中分__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_送醫途中分__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_舒張壓,15995,15995,1.0
medicine,train_2020_2023,MISS_EMT_現場_舒張壓,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_舒張壓__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_舒張壓__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_舒張壓__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_舒張壓__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_脈搏,15995,947,0.05920600187558612
medicine,train_2020_2023,MISS_EMT_現場_脈搏,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_脈搏__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_脈搏__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_脈搏__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_脈搏__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_呼吸,15995,947,0.05920600187558612
medicine,train_2020_2023,MISS_EMT_現場_呼吸,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_呼吸__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_呼吸__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_呼吸__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_呼吸__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_SPO2,15995,986,0.06164426383244764
medicine,train_2020_2023,MISS_EMT_現場_SPO2,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_SPO2__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_SPO2__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_SPO2__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_SPO2__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_體溫,15995,962,0.060143794935917476
medicine,train_2020_2023,MISS_EMT_現場_體溫,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_體溫__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_體溫__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_體溫__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_體溫__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_GCS,15995,1093,0.06833385432947796
medicine,train_2020_2023,MISS_EMT_現場_GCS,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_GCS_E,15995,1091,0.06820881525476712
medicine,train_2020_2023,MISS_EMT_現場_GCS_E,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_E__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_E__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_E__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_E__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_GCS_V,15995,1093,0.06833385432947796
medicine,train_2020_2023,MISS_EMT_現場_GCS_V,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_V__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_V__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_V__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_V__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_現場_GCS_M,15995,1092,0.06827133479212254
medicine,train_2020_2023,MISS_EMT_現場_GCS_M,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_M__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_M__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_M__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_現場_GCS_M__invalid_or_out_of_range,15995,0,0.0
