group,city,feature,n,missing_n,missing_rate
medicine,台北,EMT_年齡,911,4,0.0043907793633369925
medicine,台北,MISS_EMT_年齡,911,0,0.0
medicine,台北,MISSREASON_EMT_年齡__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_年齡__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_年齡__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_年齡__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_發生地點_到慈濟_開車km,911,0,0.0
medicine,台北,MISS_EMT_發生地點_到慈濟_開車km,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_開車km__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_開車km__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_開車km__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_開車km__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_發生地點_到慈濟_直線km,911,0,0.0
medicine,台北,MISS_EMT_發生地點_到慈濟_直線km,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_直線km__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_直線km__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_直線km__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_發生地點_到慈濟_直線km__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_反應時間分,911,19,0.020856201975850714
medicine,台北,MISS_EMT_反應時間分,911,0,0.0
medicine,台北,MISSREASON_EMT_反應時間分__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_反應時間分__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_反應時間分__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_反應時間分__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_現場停留分,911,12,0.013172338090010977
medicine,台北,MISS_EMT_現場停留分,911,0,0.0
medicine,台北,MISSREASON_EMT_現場停留分__source_missing,911,0,0.0
