group,outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
medicine,P1,y_P1,train_2020_2023,0,EMT_年齡,continuous_or_ordinal,15866,15858,8,0.05042228665069961,continuous_median_iqr,67.0,50.0,82.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_年齡,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,8,0.05042228665069961
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,1,0.006302785831337451
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,7,0.04411950081936216
medicine,P1,y_P1,train_2020_2023,0,EMT_發生地點_到慈濟_開車km,continuous_or_ordinal,15866,15850,16,0.10084457330139922,continuous_median_iqr,3.42,2.246,4.705,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_發生地點_到慈濟_開車km,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,16,0.10084457330139922
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,16,0.10084457330139922
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_發生地點_到慈濟_直線km,continuous_or_ordinal,15866,15850,16,0.10084457330139922,continuous_median_iqr,2.2874999999999996,1.555,3.369,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_發生地點_到慈濟_直線km,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,16,0.10084457330139922
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,16,0.10084457330139922
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_反應時間分,continuous_or_ordinal,15866,15843,23,0.14496407412076137,continuous_median_iqr,5.0,4.0,8.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_反應時間分,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,23,0.14496407412076137
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,23,0.14496407412076137
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_現場停留分,continuous_or_ordinal,15866,15866,0,0.0,continuous_median_iqr,11.0,7.0,15.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場停留分,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_送醫途中分,continuous_or_ordinal,15866,15866,0,0.0,continuous_median_iqr,6.0,4.0,9.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_送醫途中分,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_送醫途中分__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_送醫途中分__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_送醫途中分__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
