task_id,no_text_task_id,group,outcome,model,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,mixed_outcome_patient_groups,bootstrap_replicates,bootstrap_success,bootstrap_seed,bootstrap_method,group_stratum_rule,expected_group_multiplicity,legacy_overlapping_strata_ci,scope,source_id,source_candidate_sha256,source_acceptance_manifest_sha256,source_with_text_model_sha256
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,oof_2020_2023,AUPRC,0.13385630734125345,0.09088302687869075,0.19423576716776111,ESTIMATED,15995,129,12203,38,2000,2000,2145719470,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,oof_2020_2023,AUPRC_no_text,0.11552417539300276,0.07822821295354192,0.17098769567222832,ESTIMATED,15995,129,12203,38,2000,2000,2145719470,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.018332131948250688,-0.0048894796778354436,0.049521076147067654,ESTIMATED,15995,129,12203,38,2000,2000,2145719470,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,validation_2024,AUPRC,0.4125104717690564,0.3261413036863948,0.5167793538726849,ESTIMATED,4770,98,4071,16,2000,2000,2112710418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,validation_2024,AUPRC_no_text,0.4463025918373507,0.35733146776117153,0.5520544578083436,ESTIMATED,4770,98,4071,16,2000,2000,2112710418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-ft_transformer,medicine_P1_ft_transformer_no_text,medicine,P1,ft_transformer,validation_2024,Delta_AUPRC_text_minus_no_text,-0.033792120068294296,-0.09242813242409702,0.024875844898629505,ESTIMATED,4770,98,4071,16,2000,2000,2112710418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_ft_transformer_no_text,6b36172bf7167b4a2928a14d554cb673e6c44246383d7024931a1f2acf5ba4e1,,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,oof_2020_2023,AUPRC,0.09463079686243803,0.06359391627784572,0.14556163168462516,ESTIMATED,15995,129,12203,38,2000,2000,1965476556,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,oof_2020_2023,AUPRC_no_text,0.07672383725530241,0.05439200530201241,0.12341524264719983,ESTIMATED,15995,129,12203,38,2000,2000,1965476556,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.01790695960713562,-0.002702025923565678,0.03881951149940965,ESTIMATED,15995,129,12203,38,2000,2000,1965476556,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,validation_2024,AUPRC,0.4015017745602439,0.31361578621141767,0.5048827790340089,ESTIMATED,4770,98,4071,16,2000,2000,588792146,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,validation_2024,AUPRC_no_text,0.40764110133285025,0.31374328446223254,0.5041403261644745,ESTIMATED,4770,98,4071,16,2000,2000,588792146,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,validation_2024,Delta_AUPRC_text_minus_no_text,-0.006139326772606368,-0.05972677885345304,0.05352364078697055,ESTIMATED,4770,98,4071,16,2000,2000,588792146,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
