task_id,outcome,model,model_family,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,bootstrap_method,validation_cohort_n,coverage_rate,source_id
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,AUROC,0.9497624068358099,0.9348983241021502,0.9631564824527943,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,AUPRC,0.3152381270902816,0.2366777270397586,0.4146706504348359,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,Brier,0.011736398370105093,0.010637946353248794,0.012841589336663257,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,calibration_in_large,0.5624387028677886,0.4365140015217167,0.6821680100629252,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,calibration_intercept,-0.7296582129324364,-2.2172458415459246,0.6055834514077333,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__isotonic,common_ml,validation_2024,calibration_slope,0.6540742758965494,0.34053302169004357,0.988029176816654,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,AUROC,0.9505962887202314,0.9352004362508489,0.9635676616718877,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,AUPRC,0.3362483672853502,0.26143170551128125,0.43699381813611704,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,Brier,0.011886690776167502,0.011342363142238063,0.012407974072958078,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,calibration_in_large,0.6604137724401796,0.5771329548950483,0.7434598926792686,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,calibration_intercept,1.1986998895101904,0.8200286491587528,1.6554026720890038,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__platt,common_ml,validation_2024,calibration_slope,1.1685976068417157,1.0515763031118253,1.3189397396074438,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,AUROC,0.9505962887202314,0.9354719334170076,0.9631195481658613,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,AUPRC,0.3362483672853502,0.2608611353150352,0.43897532173843234,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,Brier,0.12083905039916289,0.11614776398732674,0.1254294252532614,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,calibration_in_large,-3.9620766323075625,-4.0129703723915755,-3.910058863481732,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,calibration_intercept,-4.657513032138133,-4.983187924745134,-4.418028954167533,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,balanced_random_forest__raw,common_ml,validation_2024,calibration_slope,1.6443403743052967,1.4810769396763888,1.8521806999946275,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,AUROC,0.955714554650218,0.9410053878210819,0.9697389027482698,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,AUPRC,0.44016274342115996,0.35243953294480906,0.5397322450068615,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,Brier,0.00985702489806513,0.00887757723709044,0.010863769283145157,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,calibration_in_large,0.28488586811437216,0.16979760931617885,0.4054629544293428,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,calibration_intercept,0.38788914158331894,-0.14929277182231332,0.9363133972393348,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__isotonic,gbdt,validation_2024,calibration_slope,1.035741118400322,0.8706081910043052,1.2150255501026075,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,AUROC,0.9551990640307576,0.9387675761091139,0.9699624826786677,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,AUPRC,0.4761768753460093,0.3850277254537745,0.582470564902151,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,Brier,0.009737777227675997,0.008618122389443256,0.010835594431918087,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,calibration_in_large,0.2750841898501722,0.13789116934034018,0.4072804908915426,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,calibration_intercept,0.47739933154627734,0.12581041773238752,0.9052745093047949,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__platt,gbdt,validation_2024,calibration_slope,1.0674708151745596,0.9646483952960964,1.1955859977992238,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,AUROC,0.9551990640307576,0.9382485313771194,0.9695387982227275,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,AUPRC,0.4761768753460093,0.3795195230593393,0.5770105637938171,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
