outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.0,1.913310281547745e-34,5.219533743246998e-42,5.298571153802364e-34,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.00021696680407897592,0.00026410240033094754,1.3799329629073292e-05,0.0005879976644595903,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.0014822134387351778,0.0021598214355660213,0.0011165992842480344,0.003450146365559391,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.001658374792703151,0.0024221353274392543,0.0013079501216397013,0.0037373440347499487,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.0018570102135561746,0.002734100860981496,0.0015855577565907896,0.004097238862294468,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.006656426011264721,0.013197839886002968,0.010320732354585613,0.0161769476130586,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.0121765601217656,0.02424850078147123,0.01981553112710517,0.02878346569101306,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.023094688221709007,0.039110910148168,0.032795460480730745,0.04577333101774693,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.025069637883008356,0.04129146137703505,0.034611527814801424,0.048316080850188944,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__isotonic,common_ml,flexible_kernel,0.11494252873563218,0.12133948061715655,0.10155025387937439,0.14285010819740065,2000,2000,0,1900,ESTIMATED,1.0035956080981867,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,3.061295083621762e-05,3.656948322367357e-24,1.3007684805343297e-51,1.1625850968173848e-23,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,6.605965688722591e-05,5.037505427225369e-16,1.9167707142995146e-38,1.5668302425949674e-15,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,9.934493237581616e-05,1.6278410342382369e-12,2.961041187551489e-32,5.036690281243811e-12,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.00013729890011824705,3.6863621551168873e-10,8.906885637059178e-28,1.1361897344789125e-09,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.00018392976265089626,2.3257707600840857e-08,4.60361738694608e-24,7.163582339707044e-08,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.00022637347695513837,2.9102411296346706e-07,1.3031025803970376e-21,8.952941080368931e-07,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0002802773909486503,2.76070774734164e-06,3.070952685071954e-19,8.512516691980084e-06,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0003432997665041272,1.6785019135824465e-05,3.947774315531813e-17,5.173421843905738e-05,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.000420969427741942,7.34748833427448e-05,3.735936898262583e-15,0.00022660619849345772,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0005178687996920644,0.00022883920752736597,2.6577233970091316e-13,0.0007034290866301101,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
