outcome,reference_model,curve,curve_type,model_family,threshold,net_benefit,n,events,prevalence,validation_cohort_n,coverage_rate,source_id
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.01,0.011445747453210139,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.01,0.004302082660291615,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.01,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.015,0.010675862890045783,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.015,-0.0007522214886409116,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.015,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.02,0.0099865105957095,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.02,-0.005858100169705409,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.02,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.025,0.00885681482696408,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.025,-0.01101634683724236,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.025,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.03,0.00700107708878289,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.03,-0.01622777130547557,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.03,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.035,0.006941375653192218,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.035,-0.021493200172343317,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.035,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.04,0.006824138237384506,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.04,-0.026813477256574278,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.04,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.045,0.006501942419540294,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.045,-0.03218946404849351,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.045,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.05,0.006298395241835933,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.05,-0.03762204017506453,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.05,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.055,0.0062033934635213955,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.055,-0.043112103879694504,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.055,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.06,0.006107381027990745,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.06,-0.048660572517352445,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.06,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.065,0.005433109471739849,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.065,-0.054268383065573585,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.065,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.07,0.005353417245569388,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.07,-0.05993649265194765,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.07,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.075,0.005272863481818706,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.075,-0.06566587909871491,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.075,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.08,0.005191434133679429,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.08,-0.07145754148512097,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.08,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.085,0.005109114847309122,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.085,-0.07731250072820907,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.085,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.09,0.005025890953396284,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.09,-0.08323180018275966,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.09,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.095,0.004955736314481264,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.095,-0.08921650626111745,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.095,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.1,0.004871475953565505,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.1,-0.09526770907367922,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.1,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.105,0.00480190825600648,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.105,-0.1013865230908506,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.105,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.11,0.004716585611269495,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.11,-0.10757408782731605,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.11,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.115,0.0033104754676978303,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.115,-0.11383156854950428,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.115,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.12,0.00328309749951541,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.12,-0.1201601570071719,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.12,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.125,0.0032554066402680475,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.125,-0.12656107219007004,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.125,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.13,0.0032273974952822092,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.13,-0.13303556111070267,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.13,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.135,0.0031990645451520265,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.135,-0.13958489961423273,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.135,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.14,0.0031704021421133533,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.14,-0.14621039321664106,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.14,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.145,0.003164004538709959,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.145,-0.1529133779722939,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.145,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,balanced_random_forest__isotonic,model,common_ml,0.15,0.0031355825912454532,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_all,treat_all,reference,0.15,-0.15969522137213096,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__isotonic,treat_none,treat_none,reference,0.15,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.01,0.011529204626219551,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.01,0.004302082660291615,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.01,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.015,0.010640010606864156,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.015,-0.0007522214886409116,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.015,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.02,0.009385470606152909,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.02,-0.005858100169705409,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.02,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.025,0.008525367667158713,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.025,-0.01101634683724236,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.025,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.03,0.00784049194381553,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.03,-0.01622777130547557,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.03,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.035,0.007534496282466276,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.035,-0.021493200172343317,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.035,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.04,0.007229477611940298,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.04,-0.026813477256574278,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.04,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.045,0.006813120262561537,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.045,-0.03218946404849351,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.045,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.05,0.00665609920323196,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.05,-0.03762204017506453,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.05,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.055,0.006319028440563622,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.055,-0.043112103879694504,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.055,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.06,0.006283173796670144,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.06,-0.048660572517352445,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.06,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.065,0.006026732266855182,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.065,-0.054268383065573585,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.065,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,balanced_random_forest__platt,model,common_ml,0.07,0.005895063851250658,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_all,treat_all,reference,0.07,-0.05993649265194765,7504,107,0.0142590618336887,7504,1.0,s0011
P1,balanced_random_forest__platt,treat_none,treat_none,reference,0.07,0.0,7504,107,0.0142590618336887,7504,1.0,s0011
