task_id,outcome,model_a,split,model_b,comparison_variant,n_common,events_common,patient_groups_common,auroc_a,auroc_b,auroc_difference,auroc_delong_p,auprc_a,auprc_b,auprc_difference,auprc_difference_lower_ci,auprc_difference_upper_ci,auprc_paired_bootstrap_p,bootstrap_b,bootstrap_success,bootstrap_method,source_id
P1_03-evaluation-P1,P1,score_rSI_sMS,validation_2024,logistic_l2,raw_validation_2024,7289,60,6434,0.8738184165629179,0.7732143680545949,0.10060404850832305,0.008306024754299497,0.06236502513085726,0.07386469797937395,-0.01149967284851669,-0.07948369794420686,0.03282556568090019,0.637,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,score_rSI_sMS,validation_2024,catboost,raw_validation_2024,7289,60,6434,0.8738184165629179,0.927562595103057,-0.05374417854013913,0.008158404932573242,0.06236502513085726,0.21870424430252786,-0.1563392191716706,-0.26968279878172896,-0.07670363299680232,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,score_rSI_sMS,validation_2024,xgboost,raw_validation_2024,7289,60,6434,0.8738184165629179,0.9169571632775395,-0.04313874671462159,0.02577667118803295,0.06236502513085726,0.196136468402607,-0.13377144327174975,-0.2325821155200736,-0.058391280090142994,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,score_rSI_sMS,validation_2024,lightgbm,raw_validation_2024,7289,60,6434,0.8738184165629179,0.9172453543597546,-0.043426937796836707,0.03376563769810223,0.06236502513085726,0.19452836745771251,-0.13216334232685525,-0.2429204489074526,-0.05944013991752428,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,logistic_l2,validation_2024,catboost,raw_validation_2024,7504,107,6600,0.8325874723144896,0.9551990640307576,-0.12261159171626801,1.8194181065035688e-08,0.273667127191066,0.4761768753460093,-0.20250974815494327,-0.28739256904688837,-0.12001506716726217,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,logistic_l2,validation_2024,xgboost,raw_validation_2024,7504,107,6600,0.8325874723144896,0.9466391401414314,-0.11405166782694176,1.625084255131683e-07,0.273667127191066,0.45237254155128687,-0.17870541436022086,-0.2574591790656823,-0.09980775594677112,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,logistic_l2,validation_2024,lightgbm,raw_validation_2024,7504,107,6600,0.8325874723144896,0.9486846776730653,-0.1160972053585757,1.1130777554438078e-07,0.273667127191066,0.46249772481422885,-0.18883059762316284,-0.2780196170637451,-0.096981453973589,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,catboost,validation_2024,xgboost,raw_validation_2024,7504,107,6600,0.9551990640307576,0.9466391401414314,0.008559923889326249,0.1374596048996665,0.4761768753460093,0.45237254155128687,0.02380433379472241,-0.013000551125769063,0.06193993354434135,0.188,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,catboost,validation_2024,lightgbm,raw_validation_2024,7504,107,6600,0.9551990640307576,0.9486846776730653,0.006514386357692303,0.19840990695966965,0.4761768753460093,0.46249772481422885,0.013679150531780426,-0.02832003781418659,0.06147095903249758,0.505,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P1,P1,xgboost,validation_2024,lightgbm,raw_validation_2024,7504,107,6600,0.9466391401414314,0.9486846776730653,-0.0020455375316339452,0.5276456697764712,0.45237254155128687,0.46249772481422885,-0.010125183262941984,-0.047307811042770834,0.027275961177207066,0.624,2000,2000,paired_outcome_stratified_patient_group_cluster,s0012
P1_03-evaluation-P2,P2,score_rSI_sMS,validation_2024,logistic_l2,raw_validation_2024,7289,526,6434,0.7526071461300556,0.8675273476965081,-0.11492020156645244,1.0439817134133526e-17,0.27583384778486986,0.4130543238235219,-0.13722047603865206,-0.17976982110333942,-0.0962050075796565,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,score_rSI_sMS,validation_2024,catboost,raw_validation_2024,7289,526,6434,0.7526071461300556,0.9025130589221492,-0.14990591279209353,5.763649069213844e-45,0.27583384778486986,0.47159214679240974,-0.19575829900753988,-0.2288919106112901,-0.15753169183298035,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,score_rSI_sMS,validation_2024,xgboost,raw_validation_2024,7289,526,6434,0.7526071461300556,0.9077130146193586,-0.15510586848930297,7.92165827694716e-46,0.27583384778486986,0.487656406315416,-0.21182255853054616,-0.24863449466771145,-0.16898003088981786,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,score_rSI_sMS,validation_2024,lightgbm,raw_validation_2024,7289,526,6434,0.7526071461300556,0.9059707005631739,-0.15336355443311822,1.9844897118735473e-44,0.27583384778486986,0.47890522268058994,-0.20307137489572008,-0.2401715091371227,-0.1610677644245688,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
