outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
P1,y_P1,train_2020_2023,0,EMT_年齡,continuous_or_ordinal,24646,24633,13,0.05274689604804025,continuous_median_iqr,62.0,42.0,78.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_年齡,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,13,0.05274689604804025
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1,0.004057453542156942
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_年齡__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,12,0.04868944250588331
P1,y_P1,train_2020_2023,0,EMT_發生地點_到慈濟_開車km,continuous_or_ordinal,24646,24623,23,0.09332143146960967,continuous_median_iqr,3.347,2.142,4.705,,
P1,y_P1,train_2020_2023,0,MISS_EMT_發生地點_到慈濟_開車km,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,23,0.09332143146960967
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,23,0.09332143146960967
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_開車km__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_發生地點_到慈濟_直線km,continuous_or_ordinal,24646,24623,23,0.09332143146960967,continuous_median_iqr,2.276,1.509,3.226,,
P1,y_P1,train_2020_2023,0,MISS_EMT_發生地點_到慈濟_直線km,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,23,0.09332143146960967
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,23,0.09332143146960967
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_發生地點_到慈濟_直線km__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_反應時間分,continuous_or_ordinal,24646,24606,40,0.16229814168627768,continuous_median_iqr,5.0,4.0,8.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_反應時間分,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,40,0.16229814168627768
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,40,0.16229814168627768
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_反應時間分__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_現場停留分,continuous_or_ordinal,24646,24642,4,0.016229814168627767,continuous_median_iqr,10.0,6.0,14.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場停留分,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,4,0.016229814168627767
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,4,0.016229814168627767
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場停留分__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
